County,State,Total population,Median age,Total population 18 and over,Total population 65 years and over,Male population,Female population,Location 1
Kit Carson County,Colorado,8270,39.700000000000003,6431,1322,4638,3632,"(39.299990000000001, -102.56713999999999)"
Lake County,Colorado,7310,35,5488,647,3913,3397,"(39.216659999999997, -106.33391)"
La Plata County,Colorado,51334,38.4,40822,5979,26138,25196,"(37.283340000000003, -107.81729)"
Larimer County,Colorado,299630,35.5,235573,35541,148637,150993,"(40.666649999999997, -105.46720999999999)"
Las Animas County,Colorado,15507,43.9,12266,2748,7948,7559,"(37.416679999999999, -104.00108)"
Lincoln County,Colorado,5467,40.9,4347,918,3163,2304,"(39.049990000000001, -103.45050000000001)"
Logan County,Colorado,22709,38.4,18167,3321,12924,9785,"(40.716659999999997, -103.11715)"
Mesa County,Colorado,146723,38.1,112206,21872,72866,73857,"(39.033320000000003, -108.46731)"
Mineral County,Colorado,712,53.1,611,164,362,350,"(37.666670000000003, -106.91727)"
Moffat County,Colorado,13795,35.799999999999997,10062,1454,7047,6748,"(40.649970000000003, -108.08396999999999)"
Montezuma County,Colorado,25535,42.9,19536,4269,12605,12930,"(37.333329999999997, -108.55065)"
Montrose County,Colorado,41276,42,31097,7349,20310,20966,"(38.416649999999997, -108.26730000000001)"
Morgan County,Colorado,28159,36,20284,3965,13898,14261,"(40.266649999999998, -103.81717)"
Otero County,Colorado,18831,40.9,14171,3458,9221,9610,"(37.900010000000002, -103.71717)"
Ouray County,Colorado,4436,50,3639,777,2224,2212,"(38.149990000000003, -107.76728)"
Park County,Colorado,16206,46.9,13098,1881,8504,7702,"(39.149990000000003, -105.76723)"
Phillips County,Colorado,4442,42.8,3320,919,2172,2270,"(40.599989999999998, -102.36713)"
Pitkin County,Colorado,17148,42,14149,1964,9095,8053,"(39.19999, -106.93393)"
Prowers County,Colorado,12551,36.700000000000003,9147,1835,6203,6348,"(37.966679999999997, -102.40047)"
Pueblo County,Colorado,159063,38.700000000000003,120148,24346,78201,80862,"(38.183340000000001, -104.48386000000001)"
Rio Blanco County,Colorado,6666,38,5045,827,3432,3234,"(39.94997, -108.20064000000001)"
Rio Grande County,Colorado,11982,41,8957,1945,5957,6025,"(37.566670000000002, -106.40058999999999)"
Routt County,Colorado,23509,38.9,18600,1909,12497,11012,"(40.516640000000002, -106.98394)"
Saguache County,Colorado,6108,43.3,4692,893,3121,2987,"(38.083329999999997, -106.25114000000001)"
San Juan County,Colorado,699,43.8,571,86,392,307,"(37.750549999999997, -107.66728000000001)"
San Miguel County,Colorado,7359,39.299999999999997,5912,517,3996,3363,"(38.016660000000002, -108.45064000000001)"
Sedgwick County,Colorado,2379,49.2,1919,569,1174,1205,"(40.866660000000003, -102.35046)"
Summit County,Colorado,27994,36.4,23110,2158,15378,12616,"(39.599989999999998, -106.01724)"
Teller County,Colorado,23350,47,18570,3023,11885,11465,"(38.866660000000003, -105.16721)"
Washington County,Colorado,4814,44.2,3689,928,2458,2356,"(39.966650000000001, -103.20050000000001)"
Weld County,Colorado,252825,33.1,182424,24235,126487,126338,"(40.633310000000002, -104.53385)"
Yuma County,Colorado,10043,38.5,7396,1623,4980,5063,"(39.983319999999999, -102.43380999999999)"
Fairfield County,Connecticut,916829,39.5,689810,124075,445601,471228,"(41.266759999999998, -73.316230000000004)"
Hartford County,Connecticut,894014,39.9,689971,130119,432013,462001,"(41.766770000000001, -72.766210000000001)"
Litchfield County,Connecticut,189927,44.4,148975,30342,93338,96589,"(41.766759999999998, -73.250119999999995)"
Middlesex County,Connecticut,165676,43.1,130578,25621,80908,84768,"(41.466769999999997, -72.532870000000003)"
New Haven County,Connecticut,862477,39.299999999999997,669503,123972,415090,447387,"(41.400100000000002, -72.932879999999997)"
New London County,Connecticut,274055,40.4,214456,38995,136803,137252,"(41.483429999999998, -72.066190000000006)"
Tolland County,Connecticut,152691,38.299999999999997,121807,18220,77163,75528,"(41.850099999999998, -72.349530000000001)"
Windham County,Connecticut,118428,39.200000000000003,91982,15215,58698,59730,"(41.83343, -72.000069999999994)"
Kent County,Delaware,162310,36.6,121931,21982,78035,84275,"(39.083449999999999, -75.54965)"
New Castle County,Delaware,538479,37.200000000000003,413400,66222,260671,277808,"(39.791780000000003, -75.632980000000003)"
Sussex County,Delaware,197145,45.4,156838,41073,96233,100912,"(38.700110000000002, -75.416309999999996)"
District of Columbia,District of Columbia,601723,33.799999999999997,500908,68809,284222,317501,"(38.700110000000002, -75.416309999999996)"
Alachua County,Florida,247336,30.1,203051,26627,119786,127550,"(29.708580000000001, -82.333160000000007)"
Baker County,Florida,27115,36,20068,2956,14160,12955,"(30.333570000000002, -82.291510000000002)"
Bay County,Florida,168852,39.5,131776,24559,83656,85196,"(30.20853, -85.624369999999999)"
Bradford County,Florida,28520,39.5,22885,4113,16010,12510,"(29.950240000000001, -82.149829999999994)"
Brevard County,Florida,543376,45.5,435690,110712,266242,277134,"(28.29195, -80.749219999999994)"
Broward County,Florida,1748066,39.700000000000003,1356717,249424,846571,901495,"(26.150359999999999, -80.483109999999996)"
Calhoun County,Florida,14625,39.700000000000003,11493,2258,7955,6670,"(30.41686, -85.166589999999999)"
Charlotte County,Florida,159978,55.9,137100,54599,77762,82216,"(26.917010000000001, -81.916470000000004)"
Citrus County,Florida,141236,54,118842,45041,68359,72877,"(28.874700000000001, -82.458150000000003)"
Clay County,Florida,190865,38,140695,22292,93491,97374,"(29.999680000000001, -81.833150000000003)"
Collier County,Florida,321520,46.9,258873,84951,158494,163026,"(26.133700000000001, -81.483140000000006)"
Columbia County,Florida,67531,39.9,52338,10390,34951,32580,"(30.250789999999999, -82.624290000000002)"
DeSoto County,Florida,34862,38.1,27027,6228,19718,15144,"(27.18366, -81.799800000000005)"
Dixie County,Florida,16422,45.4,13278,3170,8842,7580,"(29.624680000000001, -83.166520000000006)"
Duval County,Florida,864263,35.799999999999997,660749,96169,419425,444838,"(30.356909999999999, -81.631479999999996)"
Escambia County,Florida,297619,37.6,233465,42929,147119,150500,"(30.66686, -87.333309999999997)"
Flagler County,Florida,95696,47.5,76660,23405,46016,49680,"(29.458590000000001, -81.291449999999998)"
Franklin County,Florida,11549,42.4,9579,2015,6656,4893,"(29.874649999999999, -84.791569999999993)"
Gadsden County,Florida,46389,38.9,35184,6323,22647,23742,"(30.56325, -84.602689999999996)"
Gilchrist County,Florida,16939,40.6,13308,2856,8836,8103,"(29.708570000000002, -82.791510000000002)"
Glades County,Florida,12884,43.1,10467,2767,7443,5441,"(26.958670000000001, -81.166460000000001)"
Gulf County,Florida,15863,42.7,13289,2587,9484,6379,"(29.958539999999999, -85.208250000000007)"
Hamilton County,Florida,14799,38.1,11886,1946,8721,6078,"(30.507439999999999, -82.933750000000003)"
Hardee County,Florida,27731,32.799999999999997,20056,3575,14868,12863,"(27.458649999999999, -81.803970000000007)"
Hendry County,Florida,39140,32.799999999999997,28254,4491,21198,17942,"(26.500630000000001, -81.199789999999993)"
Hernando County,Florida,172778,47.7,138620,44523,82534,90244,"(28.54194, -82.458150000000003)"
Highlands County,Florida,98786,51.5,80814,31822,48273,50513,"(27.366990000000001, -81.349789999999999)"
Hillsborough County,Florida,1229226,36.1,935018,145237,599084,630142,"(27.916969999999999, -82.349810000000005)"
Holmes County,Florida,19927,41.3,15645,3425,10594,9333,"(30.882680000000001, -85.808819999999997)"
Indian River County,Florida,138028,49.1,112076,37504,66748,71280,"(27.687809999999999, -80.583110000000005)"
Jackson County,Florida,49746,40.5,39839,7801,27252,22494,"(30.79186, -85.166600000000003)"
Jefferson County,Florida,14761,44.1,12013,2432,7727,7034,"(30.416869999999999, -83.895719999999997)"
Lafayette County,Florida,8870,36.200000000000003,7085,1084,5481,3389,"(29.958559999999999, -83.208190000000002)"
Lake County,Florida,297052,45.6,235311,71825,143937,153115,"(28.79194, -81.791470000000004)"
Lee County,Florida,618754,45.6,497885,145106,303600,315154,"(26.567019999999999, -81.883139999999997)"
Leon County,Florida,275487,29.6,221514,25980,131134,144353,"(30.49464, -84.20823)"
Levy County,Florida,40801,45,32172,7914,20078,20723,"(29.291910000000001, -82.749279999999999)"
Liberty County,Florida,8365,37,6588,888,5092,3273,"(30.25075, -84.875470000000007)"
Madison County,Florida,19224,40.200000000000003,15037,3045,10035,9189,"(30.458819999999999, -83.457930000000005)"
Manatee County,Florida,322833,45.7,256550,75109,156115,166718,"(27.500869999999999, -82.291480000000007)"
Marion County,Florida,331298,47.3,267117,85318,158993,172305,"(29.249700000000001, -82.041480000000007)"
Martin County,Florida,146318,49.7,120572,39972,72423,73895,"(27.083659999999998, -80.416439999999994)"
Miami-Dade County,Florida,2496435,38.200000000000003,1950707,352013,1208364,1288071,"(25.617049999999999, -80.533109999999994)"
Monroe County,Florida,73090,46.4,62089,12469,38962,34128,"(25.312899999999999, -80.937290000000004)"
Nassau County,Florida,73314,42.9,57395,11908,36146,37168,"(30.646070000000002, -81.791499999999999)"
Okaloosa County,Florida,180822,38.299999999999997,140434,25218,90843,89979,"(30.68741, -86.562449999999998)"
Okeechobee County,Florida,39996,38.6,30412,6791,21430,18566,"(27.416989999999998, -80.916449999999998)"
Orange County,Florida,1145956,33.700000000000003,875809,110919,564326,581630,"(28.45862, -81.291460000000001)"
Osceola County,Florida,268685,35.6,198269,29656,131634,137051,"(28.04196, -81.124229999999997)"
Palm Beach County,Florida,1320134,43.5,1051250,285155,638888,681246,"(26.65034, -80.449770000000001)"
Pasco County,Florida,464697,43.6,366124,96245,225886,238811,"(28.29195, -82.416480000000007)"
Pinellas County,Florida,916542,46.3,753654,194099,440009,476533,"(27.896129999999999, -82.708160000000007)"
Polk County,Florida,602095,39.799999999999997,460359,108296,295313,306782,"(27.958629999999999, -81.708129999999997)"
Putnam County,Florida,74364,43.4,57579,14070,36884,37480,"(29.666910000000001, -81.749250000000004)"
St. Johns County,Florida,190039,42.2,146188,29793,92425,97614,"(28.70861, -81.208119999999994)"
St. Lucie County,Florida,277789,42.4,215781,55378,135859,141930,"(28.70861, -81.208119999999994)"
Santa Rosa County,Florida,151372,39.200000000000003,115163,19460,76422,74950,"(30.70852, -87.041629999999998)"
Sarasota County,Florida,379448,52.5,319713,118227,181041,198407,"(27.167000000000002, -82.333150000000003)"
Seminole County,Florida,422718,38.200000000000003,325537,50677,204799,217919,"(28.70861, -81.208119999999994)"
Sumter County,Florida,93420,62.7,84908,40530,48611,44809,"(28.708600000000001, -82.08314)"
Suwannee County,Florida,41551,42.2,32102,7850,20945,20606,"(30.249669999999998, -82.999300000000005)"
Taylor County,Florida,22570,41.1,18125,3528,12554,10016,"(30.083549999999999, -83.583200000000005)"
Union County,Florida,15535,39.1,12525,1554,10045,5490,"(30.041910000000001, -82.374279999999999)"
Volusia County,Florida,494593,45.3,401320,104289,241715,252878,"(29.083590000000001, -81.208119999999994)"
Wakulla County,Florida,30776,38.799999999999997,23851,3339,16992,13784,"(30.166869999999999, -84.33323)"
Walton County,Florida,55043,42.1,43713,8943,28177,26866,"(30.62575, -86.166610000000006)"
Washington County,Florida,24896,40.299999999999997,19626,3827,13575,11321,"(30.600190000000001, -85.666600000000003)"
Appling County,Georgia,18236,38.1,13542,2456,9159,9077,"(31.766860000000001, -82.299850000000006)"
Atkinson County,Georgia,8375,33.4,5945,890,4240,4135,"(31.3002, -82.866529999999997)"
Bacon County,Georgia,11096,36.9,8270,1480,5491,5605,"(31.5502, -82.466520000000003)"
Baker County,Georgia,3451,41.6,2650,530,1673,1778,"(31.300180000000001, -84.449910000000003)"
Baldwin County,Georgia,45720,34.1,36369,5508,22683,23037,"(33.066809999999997, -83.149870000000007)"
Banks County,Georgia,18395,38.4,13752,2300,9298,9097,"(34.350099999999998, -83.500439999999998)"
Barrow County,Georgia,69367,33.6,49778,6472,34208,35159,"(33.983440000000002, -83.716560000000001)"
Bartow County,Georgia,100157,36.200000000000003,73357,10611,49433,50724,"(34.250369999999997, -84.849940000000004)"
Ben Hill County,Georgia,17634,37.1,12966,2468,8439,9195,"(31.75018, -83.23321)"
Berrien County,Georgia,19286,38,14347,2664,9501,9785,"(31.266860000000001, -83.249880000000005)"
Bibb County,Georgia,155547,35.6,115428,19689,73286,82261,"(32.800139999999999, -83.666569999999993)"
Bleckley County,Georgia,13063,35.9,10114,1971,6217,6846,"(32.433489999999999, -83.316550000000007)"
Brantley County,Georgia,18411,37.799999999999997,13518,2260,9189,9222,"(31.200220000000002, -81.983170000000001)"
Brooks County,Georgia,16243,40.299999999999997,12393,2560,7901,8342,"(30.850190000000001, -83.566550000000007)"
Bryan County,Georgia,30233,35.700000000000003,21376,2715,14852,15381,"(32.016869999999997, -81.449830000000006)"
Bulloch County,Georgia,70217,25.9,55824,6401,35030,35187,"(32.416849999999997, -81.750389999999996)"
Burke County,Georgia,23316,35.9,16731,2767,11186,12130,"(33.06682, -82.000399999999999)"
Butts County,Georgia,23655,38.1,18330,2985,12522,11133,"(33.30012, -83.966579999999993)"
Calhoun County,Georgia,6694,38.700000000000003,5374,797,3953,2741,"(31.53351, -84.616579999999999)"
Camden County,Georgia,50513,31.3,36861,4556,25569,24944,"(30.950230000000001, -81.666489999999996)"
Candler County,Georgia,10998,37.6,8179,1584,5437,5561,"(32.500720000000001, -82.066509999999994)"
Carroll County,Georgia,110527,33.5,82403,12108,53793,56734,"(33.583440000000003, -85.049940000000007)"
Catoosa County,Georgia,63942,38.299999999999997,48002,8656,31028,32914,"(34.900080000000003, -85.149950000000004)"
Charlton County,Georgia,12171,38.200000000000003,9529,1543,6847,5324,"(30.833559999999999, -82.133179999999996)"
Chatham County,Georgia,265128,34,205121,32864,127704,137424,"(32.001600000000003, -81.083169999999996)"
Chattahoochee County,Georgia,11267,24,8214,420,7039,4228,"(32.350149999999999, -84.783259999999999)"
Chattooga County,Georgia,26015,39.299999999999997,20157,3801,13513,12502,"(34.466749999999998, -85.333290000000005)"
Cherokee County,Georgia,214346,36.299999999999997,155426,19698,105874,108472,"(34.266759999999998, -84.449929999999995)"
Clarke County,Georgia,116714,25.9,96291,9952,55388,61326,"(33.950119999999998, -83.383210000000005)"
Clay County,Georgia,3183,45.8,2466,623,1462,1721,"(31.61683, -84.983260000000001)"
Clayton County,Georgia,259424,31.6,184445,17236,124232,135192,"(33.533450000000002, -84.366590000000002)"
Clinch County,Georgia,6798,36.799999999999997,4955,868,3315,3483,"(30.900210000000001, -82.733189999999993)"
Cobb County,Georgia,688078,35.4,511591,59972,334369,353709,"(33.933439999999997, -84.566599999999994)"
Coffee County,Georgia,42356,34.799999999999997,31255,4691,21455,20901,"(31.550190000000001, -82.849869999999996)"
Colquitt County,Georgia,45498,34.799999999999997,32914,5863,22576,22922,"(31.183520000000001, -83.766559999999998)"
Columbia County,Georgia,124053,36.799999999999997,90243,12700,60328,63725,"(33.550139999999999, -82.250399999999999)"
Cook County,Georgia,17212,36.4,12530,2320,8372,8840,"(31.16686, -83.449879999999993)"
Coweta County,Georgia,127317,36.6,92485,13240,62242,65075,"(33.383450000000003, -84.766599999999997)"
Crawford County,Georgia,12630,41.5,9762,1662,6381,6249,"(32.716810000000002, -84.004080000000002)"
Crisp County,Georgia,23439,38.1,17317,3273,11221,12218,"(31.933509999999998, -83.766559999999998)"
Dade County,Georgia,16633,39,13047,2397,8192,8441,"(34.86674, -85.500519999999995)"
Dawson County,Georgia,22330,40.6,17247,3132,11164,11166,"(34.433430000000001, -84.166579999999996)"
Decatur County,Georgia,27842,37.700000000000003,20760,3879,13605,14237,"(30.850190000000001, -84.583250000000007)"
DeKalb County,Georgia,691893,34.299999999999997,526757,62228,331355,360538,"(33.75038, -84.233249999999998)"
Dodge County,Georgia,21796,38.5,16719,3015,11449,10347,"(32.183509999999998, -83.166539999999998)"
Dooly County,Georgia,14918,40,11759,2055,8053,6865,"(32.150170000000003, -83.783230000000003)"
Dougherty County,Georgia,94565,33.200000000000003,70231,11457,43927,50638,"(31.53351, -84.199910000000003)"
Douglas County,Georgia,132403,35,94870,11244,63772,68631,"(33.700110000000002, -84.749939999999995)"
Early County,Georgia,11008,39.299999999999997,8107,1791,5191,5817,"(31.33351, -84.933260000000004)"
Echols County,Georgia,4034,31.4,2851,398,2040,1994,"(30.71688, -82.849860000000007)"
Effingham County,Georgia,52250,35.1,37344,4763,26017,26233,"(32.366860000000003, -81.333169999999996)"
Elbert County,Georgia,20166,41.1,15467,3390,9656,10510,"(34.116779999999999, -82.866529999999997)"
Emanuel County,Georgia,22598,36.799999999999997,16850,3162,11038,11560,"(32.583500000000001, -82.283180000000002)"
Evans County,Georgia,11000,35.9,8163,1505,5387,5613,"(32.16686, -81.883170000000007)"
Fannin County,Georgia,23682,48.3,19151,5197,11547,12135,"(34.883420000000001, -84.316590000000005)"
Fayette County,Georgia,106567,42.4,78468,13545,51505,55062,"(33.400120000000001, -84.483260000000001)"
